gender,base_price,food_included,beds_available,city,location,room_type1,room_type1_price,room_type2,room_type2_price,room_type3,room_type3_price,wifi_available,ac_available,food_available,landmark1,landmark2,landmark3,pg_rating,no_of_ratings
Girls,"11,999",Food Included,Beds Available,new delhi,in Rajouri Garden,Single Room With AC,"21,999",Twin Sharing With AC,"12,999",Others With AC,"11,999",Wifi Available,AC Available,Food Available,0.1 Km from Gurukul International School,10.9 Km from Dwarka Sec-21 Metro Station,0.3 Km from Rajouri Garden (Blue And Pink Line),,
Boys,"14,000",Food Included,Beds Available,new delhi,in Sector 8 Dwarka,Single Room With AC,"21,000",Twin Sharing With AC,"14,000",,,Wifi Available,AC Available,Food Available,0.2 Km from Gargia World School,2.8 Km from Dwarka Sec-21 Metro Station,0.7 Km from Dwarka Sector 8 (Blue Line),,
Girls,"14,000",Food Included,Beds Available,new delhi,in Gautam Nagar,Single Room With AC,"21,000",Twin Sharing With AC,"14,000",,,Wifi Available,AC Available,Food Available,0.1 Km from Mother International School,15.8 Km from Dwarka Sec-21 Metro Station,0.5 Km from Hauz Khas Station (Yellow Line),,
Girls,"12,000",Food Included,Beds Available,new delhi,in GTB Nagar,Single Room With AC,"18,000",Twin Sharing With AC,"12,500",Triple Sharing With AC,"12,000",Wifi Available,AC Available,Food Available,0.1 Km from Khan Study Circle IAS Coaching,18.7 Km from Mundka Metro Station,0.6 Km from GTB Nagar,,
Coed,"19,999",,Beds Available,new delhi,in Vasant Kunj,Single Room With AC,"19,999",,,,,Wifi Available,AC Available,Food Not Available,0.7 Km from St. Andrews Gd Goenka Public School,11.5 Km from Dwarka Sec-21 Metro Station,3.1 Km from Sultanpur Metro Station,,
Coed,"9,999",,Beds Available,new delhi,in Dwarka,Single Room With AC,"13,999",Twin Sharing With AC,"9,999",,,Wifi Available,AC Available,Food Not Available,0.1 Km from Shiksha Bharti Public School,2.0 Km from Dwarka Sec-21 Metro Station,0.5 Km from Dwarka Sector 12 Metro Station,,
Girls,"12,000",Food Included,Beds Available,new delhi,in Kamla Nagar,Single Room With AC,"22,000",Twin Sharing With AC,"12,000",Triple Sharing With AC,"12,000",Wifi Available,AC Available,Food Available,0.3 Km from Nigam Pratibha Coed School,18.9 Km from Mundka Metro Station,1.6 Km from Pratap Nagar Metro Station,,
Coed,"6,999",Food Included,Beds Available,new delhi,in Dwarka Mor,Single Room With AC,"13,999",Twin Sharing With AC,"8,000",Triple Sharing With AC,"6,999",Wifi Available,AC Available,Food Available,0.1 Km from Ring Midways Public School,5.7 Km from Dwarka Sec-21 Metro Station,0.6 Km from Dwarka Metro Station,,
Girls,"13,000",Food Included,Beds Available,new delhi,in Kamla Nagar,Single Room With AC,"24,000",Twin Sharing With AC,"13,000",,,Wifi Available,AC Available,Food Available,0.3 Km from Nigam Pratibha Coed School,18.9 Km from Mundka Metro Station,1.6 Km from Pratap Nagar Metro Station,,
Boys,"14,999",Food Included,Beds Available,new delhi,in Kalkaji,Twin Sharing With AC,"19,999",Triple Sharing With AC,"14,999",,,Wifi Available,AC Available,Food Available,0.2 Km from Mcd School,21.1 Km from Dwarka Sec-21 Metro Station,0.8 Km from Govindpuri Metro (Violet Line),,
