BHK,Type,Purpose,Location,Latitude,Longitude,City,furnishing,Bathroom,tenant_preferred,carpet_area,floor,direction,overlooking,society,amount
3,Flat,Rent,"Defence Colony, New Delhi Greater Kailash 1, New Delhi              ",28.550212,77.234976,new delhi,Semi-Furnished,3,Bachelors/Family,1600 sqft,1 out of 4,East,"Garden/Park, Main Road",,180000
3,Flat,Rent,"in Defence Colony, New Delhi               ",28.5643603,77.20987194,new delhi,Semi-Furnished,3,Bachelors/Family,234 sqyrd,Ground out of 4,North,Garden/Park,,150000
3,Flat,Rent,"in Saket, New Delhi                ",28.5275543,77.2172592,new delhi,Semi-Furnished,3,Bachelors/Family,1700 sqft,1 out of 4,North,Main Road,,"80,000"
3,Flat,Rent,"in New Rajendra Nagar, New Delhi              ",28.528041,77.217492,new delhi,Semi-Furnished,3,Bachelors,1600 sqft,1 out of 4,North - West,Main Road,,110000
4,Flat,Rent,"in New Friends Colony, New Delhi              ",28.5659366,77.2709541,new delhi,Semi-Furnished,4,Bachelors/Family,4000 sqft,Ground out of 2,4,3,,200000
3,Flat,Rent,"in Defence Colony, New Delhi               ",28.5643603,77.20987194,new delhi,Furnished,3,Bachelors/Family,2100 sqft,1 out of 5,North,Garden/Park,,280000
4,Flat,Rent,"in Jawahar Lal Apartment, Sector 5 Dwarka, New Delhi           ",Error,Error,new delhi,Semi-Furnished,3,Family,2100 sqft,7 out of 8,North - East,"Garden/Park, Main Road",Jawahar Lal Apartment,"55,000"
2,Flat,Rent,"in Block 1 Subhash Nagar, New Delhi             ",39.03171,-90.26122,new delhi,Semi-Furnished,2,Bachelors/Family,80 sqft,1 out of 3,2,1,,"25,000"
2,Flat,Rent,"in DDA Rehayashi Welfare Association, Sector 12 Dwarka, New Delhi          ",Error,Error,new delhi,Semi-Furnished,2,Bachelors,1200 sqft,3 out of 3,North - East,"Garden/Park, Main Road",DDA Rehayashi Welfare Association,"30,000"
4,Flat,Rent,"in Chitrakoot Dham, Sector 19 Dwarka, New Delhi            ",39.03171,-90.26122,new delhi,Semi-Furnished,4,Bachelors,2000 sqft,4 out of 10,North - East,"Garden/Park, Main Road",Chitrakoot Dham,"80,000"
3,Flat,Rent,"in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar, New Delhi       ",39.03171,-90.26122,new delhi,Semi-Furnished,2,Bachelors,1637 sqft,18 out of 24,North - West,"Pool, Garden/Park, Main Road",DLF Capital Greens 1 and 2,"50,000"
5,Flat,Rent,"in Omdev Homes, Greater Kailash 1, New Delhi            ",-42.520031,172.828822,new delhi,Semi-Furnished,6,Bachelors/Family,6000 sqft,2 out of 4,North,Main Road,Omdev Homes,850000
3,Flat,Rent,"in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar, New Delhi       ",39.03171,-90.26122,new delhi,Unfurnished,2,Bachelors,1600 sqft,2 out of 26,South,"Garden/Park, Pool, Main Road",DLF Capital Greens 1 and 2,"72,000"
3,Flat,Rent,"in Chattarpur, New Delhi                ",28.5033155,77.1787621,new delhi,Unfurnished,2,Bachelors,900 sqft,Ground out of 4,East,"Garden/Park, Main Road",,"28,000"
3,Flat,Rent,"in Garden Estate, Sector 22 Dwarka, New Delhi            ",28.592705,77.065989,new delhi,Semi-Furnished,2,Family,1550 sqft,4 out of 8,North - East,Garden/Park,Garden Estate,"45,000"
5,Flat,Rent,"in Greater Kailash 2, New Delhi              ",28.470777,77.50535,new delhi,Furnished,5,Bachelors/Family,4950 sqft,1 out of 4,Main Road,5,,230000
3,Flat,Rent,"in Pitam Pura, New Delhi               ",28.712134,77.135444,new delhi,Furnished,2,Bachelors/Family,1250 sqft,3 out of 4,North - West,"Garden/Park, Main Road",,"50,000"
3,Flat,Rent,"in Greater Kailash 1, New Delhi              ",28.470777,77.50535,new delhi,Unfurnished,3,Bachelors/Family,1700 sqft,1 out of 4,North - East,Garden/Park,,110000
3,Flat,Rent,"in DDA Freedom Fighter Enclave, Saket, New Delhi            ",28.521197,77.203815,new delhi,Semi-Furnished,3,Bachelors,1700 sqft,1 out of 4,East,"Pool, Garden/Park, Main Road",DDA Freedom Fighter Enclave,"40,000"
4,Flat,Rent,"in RWA POCKET 1 JASOLA, Jasola Vihar, New Delhi           ",28.557163,77.163665,new delhi,Unfurnished,4,Bachelors,2500 sqft,Ground out of 4,North - East,Garden/Park,RWA POCKET 1 JASOLA,"80,000"
2,Flat,Rent,"in Jupiter Apartment, Vikaspuri, New Delhi              ",28.630647,77.072235,new delhi,Semi-Furnished,2,Bachelors/Family,950 sqft,1 out of 3,North - East,"Garden/Park, Main Road",Jupiter Apartment,"25,000"
4,Flat,Rent,"in Safdarjung Enclave, New Delhi               ",28.56502,77.1925584,new delhi,Unfurnished,4,Bachelors/Family,2200 sqft,Ground out of 4,North - East,Garden/Park,,130000
3,Flat,Rent,"in Chattarpur, New Delhi                ",28.5033155,77.1787621,new delhi,Semi-Furnished,2,Bachelors/Family,1250 sqft,3 out of 5,North,Garden/Park,,"24,500"
3,Flat,Rent,"in Malviya Nagar, New Delhi               ",28.536616,77.21222,new delhi,Furnished,3,Bachelors,1125 sqft,4 out of 4,East,Main Road,,"70,000"
2,Flat,Rent,"in Varun Apartment, Sector 9 Rohini, New Delhi            ",28.713635,77.125711,new delhi,Furnished,2,Bachelors,950 sqft,Ground out of 4,North - East,Garden/Park,Varun Apartment,"37,000"
3,Flat,Rent,"in The Excellence Apartment, Dwarka, New Delhi             ",40.718663,-73.845363,new delhi,Furnished,3,Family,1850 sqft,9 out of 10,North - East,"Garden/Park, Main Road",The Excellence Apartment,130000
3,Flat,Rent,"in Chitrakoot Apartment, Dwarka, New Delhi              ",28.561986,77.058098,new delhi,Semi-Furnished,3,Bachelors/Family,1800 sqft,2 out of 10,North,"Pool, Garden/Park, Main Road",Chitrakoot Apartment,"50,000"
4,Flat,Rent,"in Punjabi Bagh, New Delhi               ",28.567074,77.242064,new delhi,Semi-Furnished,4,Bachelors/Family,2520 sqft,4 out of 4,North - West,"Garden/Park, Main Road",,110000
2,Flat,Rent,"in DDA Flats Munirka, Munirka, New Delhi             ",28.557163,77.163665,new delhi,Unfurnished,2,Bachelors/Family,1000 sqft,2 out of 3,North - West,"Garden/Park, Main Road",DDA Flats Munirka,"45,200"
